respondent_id,h1n1_vaccine,seasonal_vaccine
27058,0.92,0.97
27059,0.11,0.18
27061,0.04,0.53
27062,0.1,0.45
27063,0.02,0.48
27064,0.12,0.59
27065,0.1,0.4
27066,0.07,0.48
27067,0.48,0.84
27068,0.78,0.85
27069,0.63,0.82
27070,0.02,0.08
27072,0.14,0.46
27073,0.05,0.93
27074,0.09,0.37
27075,0.53,0.75
27076,0.79,0.7
27077,0.06,0.15
27078,0.12,0.77
27079,0.15,0.74
27080,0.13,0.21
27081,0.03,0.75
27082,0.35,0.4
27083,0.1,0.31
27084,0.89,0.69
27085,0.01,0.1
27086,0.02,0.07
27087,0.09,0.32
27088,0.28,0.72
27089,0.32,0.16
27090,0.34,0.63
27091,0.74,0.48
27092,0.14,0.13
27094,0.0,0.18
27096,0.06,0.25
27097,0.49,0.61
27098,0.74,0.76
27099,0.26,0.47
27103,0.01,0.1
27104,0.45,0.63
27105,0.02,0.5
27106,0.79,0.72
27107,0.58,0.63
27109,0.11,0.18
27110,0.04,0.34
27111,0.06,0.45
27112,0.35,0.6
27113,0.15,0.11
27115,0.74,0.63
27117,0.03,0.06
27118,0.06,0.48
27119,0.08,0.25
27120,0.15,0.92
27122,0.01,0.24
27123,0.09,0.25
27124,0.02,0.24
27125,0.01,0.01
27126,0.51,0.19
27127,0.04,0.07
27128,0.27,0.57
27129,0.41,0.63
27131,0.08,0.13
27132,0.29,0.86
27133,0.03,0.62
27134,0.82,0.98
27135,0.09,0.56
27136,0.12,0.51
27137,0.12,0.24
27138,0.07,0.65
27139,0.06,0.16
27140,0.96,0.96
27141,0.75,0.68
27142,0.02,0.21
27144,0.02,0.11
27145,0.62,0.78
27147,0.05,0.23
27148,0.17,0.1
27149,0.14,0.2
27150,0.54,0.85
27152,0.05,0.14
27154,0.81,0.88
27155,0.21,0.8
27156,0.01,0.22
27157,0.02,0.66
27158,0.02,0.26
27159,0.07,0.12
27160,0.12,0.28
27161,0.43,0.57
27162,0.09,0.68
27163,0.51,0.47
27164,0.12,0.2
27166,0.11,0.33
27167,0.17,0.46
27168,0.06,0.48
27170,0.57,0.87
27171,0.02,0.1
27172,0.05,0.79
27173,0.31,0.41
27174,0.03,0.15
27175,0.02,0.14
27176,0.66,0.89
27177,0.91,0.84
27178,0.04,0.17
27179,0.12,0.19
27180,0.13,0.44
27182,0.47,0.74
27184,0.08,0.37
27185,0.35,0.66
27186,0.17,0.83
27187,0.11,0.25
27188,0.1,0.31
27189,0.13,0.71
27190,0.21,0.77
27191,0.28,0.92
27192,0.31,0.79
27193,0.01,0.2
27194,0.23,0.51
27195,0.01,0.25
27196,0.13,0.15
27197,0.09,0.64
27201,0.58,0.85
27202,0.11,0.38
27203,0.03,0.15
27204,0.05,0.07
27206,0.27,0.31
27208,0.89,0.79
27210,0.13,0.28
27211,0.05,0.3
27213,0.24,0.57
27214,0.04,0.24
27216,0.17,0.87
27217,0.03,0.32
27218,0.85,0.87
27219,0.63,0.76
27220,0.26,0.45
27221,0.07,0.63
27222,0.08,0.45
27223,0.03,0.73
27224,0.11,0.65
27225,0.24,0.27
27226,0.04,0.39
27227,0.22,0.23
27229,0.85,0.76
27230,0.26,0.95
27231,0.6,0.86
27232,0.18,0.62
27233,0.4,0.29
27234,0.02,0.07
27235,0.93,0.96
27236,0.16,0.9
27237,0.43,0.87
27238,0.34,0.7
27239,0.27,0.28
27241,0.13,0.14
27242,0.18,0.49
27243,0.07,0.1
27244,0.02,0.08
27246,0.87,0.92
27247,0.22,0.99
27248,0.29,0.72
27249,0.04,0.55
27250,0.17,0.17
27251,0.03,0.44
27252,0.15,0.34
27253,0.02,0.76
27254,0.95,0.98
27255,0.23,0.55
27256,0.72,0.98
27257,0.43,0.51
27258,0.21,0.65
27259,0.43,0.79
27260,0.11,0.39
27263,0.05,0.11
27264,0.03,0.15
27265,0.08,0.45
27266,0.07,0.32
27268,0.01,0.16
27269,0.87,0.55
27270,0.01,0.06
27271,0.02,0.23
27272,0.02,0.44
27273,0.09,0.23
27274,0.18,0.47
27275,0.26,0.33
27276,0.0,0.11
27277,0.06,0.87
27278,0.08,0.25
27279,0.03,0.18
27282,0.11,0.84
27284,0.11,0.53
27287,0.07,0.64
27288,0.72,0.63
27289,0.15,0.49
27290,0.01,0.1
27291,0.57,0.82
27293,0.05,0.89
27294,0.03,0.05
27295,0.46,0.88
27296,0.08,0.81
27297,0.08,0.71
27298,0.04,0.2
27299,0.33,0.61
27300,0.12,0.87
27301,0.01,0.12
27302,0.22,0.75
27303,0.04,0.25
27304,0.03,0.84
27305,0.02,0.09
27307,0.84,0.89
27308,0.29,0.24
27311,0.05,0.28
27313,0.04,0.18
27314,0.06,0.09
27315,0.04,0.23
27319,0.24,0.73
27320,0.25,0.84
27321,0.05,0.57
27322,0.3,0.31
27323,0.03,0.4
27324,0.19,0.72
27326,0.07,0.61
27328,0.28,0.55
27329,0.19,0.22
27331,0.15,0.24
27333,0.66,0.67
27334,0.07,0.04
27335,0.19,0.16
27336,0.1,0.14
27337,0.43,0.63
27338,0.34,0.35
27339,0.12,0.26
27340,0.01,0.1
27342,0.04,0.66
27343,0.09,0.1
27344,0.39,0.45
27345,0.03,0.22
27346,0.64,0.82
27347,0.85,0.83
27350,0.06,0.86
27352,0.05,0.22
27353,0.0,0.18
27354,0.24,0.63
27355,0.31,0.23
27356,0.27,0.62
27357,0.15,0.4
27360,0.2,0.64
27361,0.01,0.84
27362,0.29,0.45
27365,0.31,0.62
27366,0.28,0.59
27367,0.2,0.48
27368,0.04,0.65
27369,0.03,0.11
27370,0.01,0.63
27372,0.11,0.17
27373,0.89,0.81
27374,0.04,0.15
27375,0.09,0.85
27376,0.49,0.38
27377,0.17,0.54
27378,0.09,0.11
27379,0.04,0.14
27380,0.07,0.83
27381,0.03,0.52
27382,0.19,0.26
27383,0.07,0.57
27384,0.02,0.54
27385,0.14,0.9
27387,0.4,0.83
27388,0.18,0.32
27389,0.1,0.06
27390,0.02,0.08
27391,0.15,0.69
27392,0.83,0.89
27393,0.01,0.02
27395,0.73,0.68
27396,0.12,0.21
27397,0.94,0.98
27398,0.31,0.61
27399,0.19,0.69
27401,0.2,0.37
27403,0.09,0.14
27404,0.22,0.27
27405,0.75,0.77
27407,0.09,0.24
27408,0.14,0.63
27409,0.94,0.89
27410,0.04,0.18
27413,0.02,0.29
27414,0.83,0.76
27415,0.02,0.38
27417,0.14,0.37
27418,0.55,0.3
27419,0.53,0.97
27420,0.04,0.29
27422,0.18,0.76
27424,0.1,0.41
27426,0.18,0.26
27427,0.05,0.42
27428,0.09,0.07
27429,0.54,0.28
27430,0.05,0.51
27431,0.09,0.65
27432,0.35,0.59
27433,0.18,0.78
27435,0.38,0.51
27437,0.16,0.18
27438,0.03,0.1
27441,0.89,0.93
27442,0.19,0.86
27443,0.05,0.12
27444,0.03,0.08
27445,0.04,0.1
27447,0.04,0.15
27448,0.18,0.4
27449,0.24,0.97
27450,0.07,0.68
27451,0.01,0.17
27452,0.01,0.3
27454,0.15,0.37
27455,0.22,0.39
27457,0.1,0.15
27458,0.04,0.29
27460,0.74,0.87
27461,0.09,0.19
27463,0.2,0.44
27464,0.25,0.48
27465,0.83,0.91
27467,0.01,0.11
27468,0.03,0.45
27469,0.05,0.52
27470,0.78,0.82
27471,0.14,0.69
27472,0.3,0.8
27473,0.18,0.37
27474,0.23,0.24
27475,0.02,0.15
27476,0.05,0.31
27477,0.05,0.17
27478,0.05,0.62
27480,0.11,0.7
27481,0.71,0.78
27482,0.52,0.34
27483,0.57,0.79
27484,0.3,0.84
27485,0.01,0.69
27487,0.19,0.93
27488,0.71,0.72
27489,0.85,0.77
27491,0.47,0.47
27492,0.01,0.4
27493,0.2,0.81
27494,0.19,0.63
27495,0.07,0.27
27497,0.03,0.1
27498,0.1,0.74
27499,0.16,0.85
27500,0.13,0.75
27501,0.06,0.25
27502,0.11,0.54
27503,0.11,0.77
27504,0.01,0.05
27505,0.02,0.12
27506,0.38,0.82
27509,0.09,0.42
27510,0.73,0.38
27511,0.09,0.51
27512,0.04,0.25
27514,0.23,0.52
27515,0.74,0.48
27516,0.55,0.7
27517,0.01,0.07
27518,0.89,0.89
27519,0.01,0.14
27520,0.1,0.09
27521,0.07,0.37
27522,0.16,0.25
27523,0.01,0.23
27524,0.08,0.48
27525,0.05,0.23
27526,0.4,0.59
27527,0.02,0.93
27528,0.34,0.91
27530,0.12,0.05
27531,0.07,0.18
27532,0.09,0.88
27533,0.5,0.47
27534,0.03,0.17
27535,0.03,0.74
27536,0.24,0.34
27538,0.49,0.38
27539,0.47,0.62
27542,0.03,0.1
27543,0.55,0.55
27544,0.06,0.2
27545,0.26,0.29
27547,0.01,0.2
27549,0.03,0.77
27550,0.08,0.2
27551,0.11,0.54
27552,0.03,0.77
27553,0.13,0.57
27554,0.33,0.27
27555,0.12,0.28
27556,0.18,0.72
27557,0.29,0.85
27558,0.04,0.24
27559,0.14,0.74
27560,0.5,0.75
27561,0.51,0.82
27565,0.09,0.27
27566,0.31,0.34
27567,0.06,0.72
27568,0.31,0.91
27569,0.01,0.05
27570,0.28,0.79
27571,0.02,0.08
27572,0.0,0.01
27574,0.22,0.47
27575,0.01,0.38
27576,0.01,0.1
27578,0.25,0.55
27579,0.17,0.6
27580,0.13,0.58
27581,0.04,0.2
27582,0.12,0.15
27583,0.04,0.07
27584,0.76,0.59
27585,0.11,0.34
27586,0.53,0.74
27587,0.09,0.59
27588,0.05,0.38
27589,0.16,0.57
27590,0.12,0.57
27591,0.14,0.7
27592,0.04,0.09
27593,0.11,0.16
27594,0.07,0.41
27595,0.03,0.3
27596,0.17,0.27
27597,0.17,0.26
27599,0.53,0.58
27600,0.06,0.35
27602,0.86,0.88
27603,0.08,0.08
27605,0.62,0.51
27607,0.63,0.47
27608,0.23,0.63
27609,0.26,0.84
27610,0.42,0.76
27611,0.32,0.17
27612,0.01,0.56
27613,0.91,0.92
27614,0.15,0.37
27615,0.2,0.88
27616,0.01,0.1
27617,0.4,0.37
27619,0.41,0.46
27621,0.16,0.24
27622,0.68,0.95
27623,0.18,0.86
27624,0.15,0.76
27625,0.03,0.42
27627,0.91,0.71
27628,0.02,0.75
27629,0.0,0.12
27631,0.1,0.23
27632,0.01,0.36
27633,0.6,0.68
27635,0.13,0.35
27636,0.45,0.79
27638,0.18,0.29
27639,0.02,0.2
27640,0.89,0.5
27641,0.51,0.54
27642,0.14,0.61
27644,0.03,0.59
27645,0.03,0.23
27646,0.08,0.31
27648,0.05,0.17
27649,0.04,0.39
27650,0.12,0.68
27651,0.46,0.85
27653,0.04,0.11
27654,0.18,0.66
27655,0.2,0.33
27657,0.74,0.35
27658,0.03,0.51
27659,0.04,0.09
27661,0.1,0.17
27662,0.01,0.26
27663,0.31,0.87
27664,0.05,0.21
27665,0.84,0.6
27666,0.22,0.93
27667,0.09,0.06
27668,0.89,0.92
27669,0.19,0.8
27670,0.49,0.96
27671,0.12,0.82
27672,0.02,0.14
27674,0.05,0.6
27675,0.56,0.67
27676,0.29,0.78
27677,0.14,0.11
27679,0.16,0.48
27680,0.75,0.9
27681,0.0,0.11
27684,0.14,0.21
27685,0.04,0.13
27688,0.06,0.52
27689,0.72,0.95
27691,0.81,0.97
27692,0.03,0.35
27694,0.05,0.42
27696,0.05,0.62
27697,0.85,0.87
27698,0.12,0.35
27699,0.01,0.22
27700,0.12,0.53
27701,0.12,0.45
27702,0.44,0.37
27703,0.04,0.14
27704,0.01,0.05
27705,0.7,0.5
27706,0.12,0.87
27707,0.01,0.28
27708,0.23,0.5
27710,0.02,0.25
27711,0.5,0.51
27712,0.07,0.17
27714,0.18,0.23
27715,0.82,0.87
27717,0.02,0.21
27718,0.18,0.43
27720,0.04,0.3
27721,0.39,0.3
27722,0.02,0.37
27723,0.13,0.91
27724,0.02,0.22
27725,0.08,0.52
27727,0.26,0.86
27728,0.33,0.43
27729,0.08,0.1
27730,0.79,0.88
27731,0.87,0.9
27732,0.03,0.92
27733,0.14,0.33
27736,0.26,0.2
27737,0.03,0.64
27739,0.54,0.83
27740,0.04,0.2
27741,0.2,0.65
27742,0.11,0.5
27743,0.64,0.8
27744,0.14,0.44
27745,0.49,0.84
27746,0.18,0.68
27747,0.16,0.4
27748,0.08,0.26
27749,0.07,0.59
27750,0.19,0.16
27752,0.29,0.77
27753,0.04,0.11
27754,0.07,0.75
27755,0.95,0.89
27756,0.16,0.25
27757,0.06,0.15
27758,0.03,0.85
27760,0.33,0.74
27761,0.07,0.84
27762,0.01,0.16
27763,0.02,0.69
27764,0.29,0.36
27766,0.81,0.83
27767,0.61,0.84
27768,0.05,0.17
27769,0.13,0.34
27770,0.04,0.63
27771,0.07,0.6
27772,0.85,0.81
27774,0.19,0.21
27775,0.25,0.15
27776,0.08,0.08
27777,0.17,0.49
27778,0.11,0.14
27780,0.15,0.89
27781,0.04,0.1
27782,0.84,0.91
27783,0.13,0.75
27784,0.06,0.28
27786,0.01,0.29
27787,0.05,0.27
27788,0.02,0.13
27789,0.91,0.83
27790,0.85,0.64
27793,0.21,0.21
27794,0.07,0.35
27795,0.25,0.71
27799,0.08,0.19
27800,0.18,0.34
27801,0.04,0.35
27802,0.67,0.91
27803,0.01,0.05
27804,0.56,0.79
27805,0.13,0.18
27806,0.32,0.75
27807,0.1,0.83
27808,0.5,0.41
27809,0.49,0.84
27810,0.01,0.14
27811,0.02,0.07
27812,0.14,0.15
27813,0.37,0.47
27814,0.31,0.37
27815,0.21,0.39
27816,0.4,0.63
27817,0.16,0.4
27820,0.78,0.78
27821,0.08,0.24
27822,0.17,0.17
27823,0.29,0.35
27824,0.21,0.74
27825,0.07,0.24
27827,0.06,0.12
27828,0.01,0.24
27829,0.01,0.13
27830,0.15,0.16
27831,0.08,0.44
27832,0.03,0.59
27834,0.81,0.84
27835,0.3,0.62
27836,0.08,0.9
27837,0.28,0.78
27839,0.01,0.25
27840,0.36,0.67
27842,0.44,0.91
27843,0.02,0.52
27844,0.05,0.84
27845,0.07,0.76
27846,0.04,0.26
27847,0.02,0.42
27849,0.15,0.75
27850,0.07,0.24
27851,0.48,0.29
27852,0.28,0.54
27853,0.12,0.12
27854,0.14,0.63
27855,0.15,0.52
27856,0.16,0.8
27857,0.41,0.82
27858,0.73,0.95
27859,0.95,0.88
27861,0.05,0.14
27863,0.19,0.35
27864,0.05,0.46
27865,0.13,0.69
27866,0.87,0.82
27867,0.52,0.61
27868,0.46,0.84
27869,0.02,0.52
27870,0.28,0.26
27872,0.01,0.14
27873,0.05,0.06
27874,0.11,0.65
27875,0.16,0.61
27876,0.04,0.13
27878,0.02,0.61
27879,0.21,0.52
27880,0.02,0.19
27881,0.07,0.64
27883,0.04,0.15
27884,0.05,0.2
27885,0.05,0.11
27886,0.18,0.27
27887,0.72,0.53
27888,0.04,0.46
27889,0.04,0.28
27890,0.16,0.38
27891,0.22,0.39
27892,0.02,0.2
27893,0.02,0.35
27894,0.27,0.49
27895,0.16,0.74
27896,0.03,0.42
27897,0.01,0.0
27898,0.07,0.14
27899,0.02,0.5
27900,0.65,0.88
27901,0.13,0.11
27902,0.01,0.23
27903,0.06,0.26
27905,0.03,0.25
27906,0.03,0.62
27907,0.85,0.94
27908,0.34,0.68
27909,0.21,0.23
27911,0.59,0.77
27912,0.05,0.54
27913,0.01,0.34
27916,0.03,0.44
27918,0.08,0.95
27919,0.06,0.38
27920,0.17,0.69
27921,0.08,0.6
27922,0.43,0.72
27923,0.22,0.9
27924,0.03,0.15
27925,0.0,0.14
27926,0.44,0.25
27927,0.01,0.19
27928,0.63,0.84
27930,0.19,0.28
27931,0.96,0.81
27935,0.2,0.84
27936,0.26,0.65
27937,0.78,0.92
27938,0.02,0.24
27939,0.07,0.05
27940,0.02,0.12
27941,0.02,0.32
27942,0.01,0.2
27943,0.04,0.59
27944,0.31,0.43
27945,0.56,0.42
27946,0.12,0.13
27948,0.0,0.11
27949,0.05,0.34
27950,0.02,0.85
27951,0.67,0.71
27952,0.03,0.8
27953,0.17,0.59
27954,0.08,0.74
27955,0.01,0.78
27956,0.49,0.85
27957,0.03,0.31
27959,0.08,0.33
27960,0.07,0.68
27961,0.04,0.2
27962,0.82,0.87
27965,0.02,0.05
27966,0.45,0.79
27967,0.07,0.17
27968,0.21,0.43
27969,0.38,0.84
27970,0.05,0.35
27971,0.11,0.76
27972,0.1,0.62
27973,0.48,0.65
27976,0.14,0.14
27978,0.12,0.37
27980,0.02,0.16
27981,0.02,0.33
27983,0.65,0.81
27984,0.06,0.47
27985,0.06,0.82
27986,0.41,0.35
27987,0.05,0.4
27988,0.02,0.58
27989,0.04,0.35
27990,0.16,0.47
27991,0.18,0.58
27993,0.03,0.13
27994,0.2,0.8
27995,0.1,0.72
27996,0.01,0.09
27998,0.08,0.65
28001,0.01,0.07
28002,0.02,0.11
28003,0.03,0.26
28004,0.38,0.34
28006,0.07,0.32
28007,0.12,0.46
28009,0.04,0.34
28012,0.89,0.8
28013,0.41,0.74
28014,0.02,0.05
28016,0.63,0.91
28017,0.05,0.16
28019,0.13,0.09
28021,0.38,0.54
28023,0.58,0.52
28024,0.04,0.38
28025,0.76,0.71
28026,0.01,0.17
28028,0.36,0.87
28030,0.83,0.98
28032,0.03,0.63
28033,0.13,0.12
28034,0.54,0.6
28035,0.24,0.13
28036,0.03,0.31
28037,0.01,0.52
28038,0.01,0.02
28039,0.1,0.39
28041,0.14,0.91
28042,0.15,0.09
28043,0.76,0.77
28044,0.03,0.24
28045,0.24,0.53
28047,0.09,0.88
28048,0.11,0.13
28049,0.02,0.78
28050,0.02,0.13
28051,0.06,0.73
28052,0.43,0.64
28053,0.11,0.26
28054,0.18,0.23
28055,0.15,0.27
28057,0.01,0.64
28059,0.11,0.4
28061,0.07,0.31
28062,0.15,0.37
28064,0.07,0.69
28066,0.07,0.56
28067,0.09,0.66
28068,0.18,0.25
28071,0.07,0.41
28072,0.14,0.55
28074,0.57,0.46
28075,0.14,0.29
28076,0.07,0.59
28077,0.16,0.23
28078,0.16,0.62
28079,0.52,0.83
28080,0.15,0.12
28082,0.35,0.63
28083,0.01,0.15
28084,0.02,0.18
28085,0.83,0.51
28086,0.15,0.66
28087,0.12,0.95
28089,0.02,0.15
28090,0.07,0.52
28092,0.03,0.12
28093,0.03,0.62
28094,0.02,0.23
28095,0.93,0.89
28096,0.62,0.68
28098,0.14,0.49
28100,0.11,0.1
28102,0.09,0.35
28103,0.03,0.82
28104,0.35,0.88
28105,0.04,0.03
28106,0.07,0.41
28108,0.49,0.61
28109,0.19,0.21
28112,0.27,0.52
28114,0.03,0.12
28116,0.02,0.3
28117,0.03,0.22
28118,0.14,0.17
28119,0.46,0.57
28120,0.31,0.76
28121,0.25,0.8
28122,0.01,0.02
28123,0.04,0.11
28124,0.14,0.28
28125,0.1,0.47
28126,0.33,0.54
28127,0.05,0.3
28128,0.02,0.1
28129,0.21,0.89
28130,0.13,0.16
28131,0.16,0.2
28133,0.26,0.97
28134,0.2,0.33
28135,0.04,0.67
28138,0.18,0.72
28139,0.35,0.83
28140,0.37,0.79
28141,0.01,0.06
28142,0.11,0.08
28143,0.24,0.23
28144,0.09,0.83
28147,0.01,0.35
28148,0.23,0.43
28149,0.02,0.06
28150,0.11,0.63
28151,0.02,0.43
28152,0.1,0.37
28153,0.09,0.13
28154,0.02,0.09
28155,0.04,0.67
28157,0.15,0.2
28158,0.61,0.85
28159,0.59,0.88
28160,0.05,0.24
28161,0.16,0.51
28162,0.32,0.86
28165,0.14,0.29
28166,0.73,0.99
28167,0.05,0.27
28168,0.12,0.7
28169,0.04,0.18
28170,0.06,0.4
28171,0.08,0.38
28172,0.15,0.6
28174,0.15,0.12
28175,0.15,0.75
28177,0.17,0.27
28178,0.06,0.74
28179,0.02,0.19
28180,0.23,0.24
28181,0.02,0.28
28182,0.1,0.31
28183,0.14,0.12
28184,0.02,0.16
28185,0.14,0.3
28186,0.21,0.47
28188,0.23,0.21
28189,0.11,0.06
28190,0.16,0.28
28191,0.01,0.03
28192,0.05,0.13
28193,0.03,0.91
28194,0.01,0.25
28195,0.43,0.81
28196,0.77,0.69
28198,0.49,0.87
28199,0.04,0.51
28200,0.06,0.27
28201,0.05,0.3
28203,0.24,0.79
28204,0.02,0.1
28205,0.82,0.42
28207,0.56,0.8
28208,0.09,0.33
28209,0.24,0.6
28210,0.09,0.11
28211,0.89,0.5
28212,0.57,0.81
28213,0.73,0.68
28214,0.02,0.34
28216,0.23,0.35
28217,0.01,0.05
28218,0.67,0.68
28219,0.12,0.15
28221,0.22,0.18
28222,0.53,0.84
28223,0.06,0.8
28224,0.1,0.2
28225,0.24,0.66
28226,0.01,0.1
28227,0.27,0.9
28228,0.05,0.56
28229,0.45,0.82
28230,0.0,0.01
28231,0.3,0.87
28232,0.32,0.47
28233,0.05,0.28
28235,0.01,0.27
28236,0.05,0.21
28238,0.24,0.84
28240,0.42,0.4
28241,0.02,0.14
28242,0.68,0.74
28243,0.03,0.23
28244,0.13,0.8
28245,0.1,0.46
28246,0.01,0.01
28248,0.06,0.45
28250,0.34,0.7
28251,0.42,0.78
28252,0.21,0.23
28253,0.26,0.71
28254,0.24,0.3
28255,0.19,0.52
28256,0.81,0.68
28257,0.01,0.13
28258,0.03,0.12
28259,0.13,0.89
28260,0.09,0.38
28261,0.57,0.8
28262,0.07,0.19
28264,0.37,0.67
28265,0.12,0.66
28267,0.02,0.47
28268,0.04,0.17
28269,0.09,0.19
28270,0.27,0.77
28271,0.52,0.4
28272,0.2,0.55
28273,0.05,0.53
28274,0.18,0.75
28275,0.12,0.35
28276,0.17,0.49
28277,0.02,0.07
28278,0.22,0.79
28279,0.73,0.6
28282,0.07,0.12
28283,0.04,0.19
28284,0.72,0.55
28285,0.26,0.45
